Titel|Prijs|ReleaseDatum|AantalSpelers|Genre|PegiLeeftijd|PegiInhoud|Publisher|Ontwikkelaar|GesprokenTaal|GeschrevenTaal|Platform|LocalImgUrl|LocalBgImgUrl|HtmlDetailTekst
Shaq Fu - A Legend Reborn|34.98|5/6/2018|Singleplayer, Lokale Multiplayer Coöp|Action|12|Geweld|Mindscape|Big Deez Productions|Engels|Engels|xbox-one|xbox-one/Shaq-Fu.jpg|xbox-one/Shaq-Fu_background.jpg|<p></p><h2>Shaq Fu - A Legend Reborn </h2> <p>Shaq Fu: A Legend Reborn is het vervolg op Shaq Fu, een vechtspel met Shaquille O’Neal dat in 1994 verscheen en door veel gamers en critici wordt gezien als de slechtste game ooit gemaakt. De cultstatus zorgde ervoor dat zowel Shaquille als enkele ontwikkelaars de opdracht aannamen om een vervolg te maken dat wél geliefd is door de critici en gamers.</p> <p> In Shaq Fu: A Legend Reborn keert de basketballegende terug en neemt hij het op tegen demonische celebrities om wraak te nemen en alsnog een waardige plek te claimen in de videogamegeschiedenis. Sla vijanden neer met verwoestende combo’s en maai om je heen met diverse wapens en power-ups in een avontuur vol keiharde actie. Natuurlijk is de hoofdpersoon ingesproken door de enige echte Shaquille O’Neal!</p> <ul>  <li>Stem door niemand minder dan Shaq Fu zelf: basketballegende Shaquille O'Neal. </li>  <li>Reis naar verschillende werelddelen en maak gebruik van de contextuele acties en vechtbewegingen die uniek zijn aan de locaties. </li>  <li>Elke vijand komt met unieke vaardigheden. </li>  <li>Ga de strijd aan met over-the-top eindbazen en gebruik Shaq's unieke arsenaal speciale vaardigheden, power-ups en old school martial arts.</li> </ul><p></p>
Shaq Fu - A Legend Reborn|39.98|5/6/2018|Singleplayer, Lokale Multiplayer Coöp|Action|12|Geweld|Mindscape|Big Deez Productions|Engels|Engels|nintendo-switch|nintendo-switch/Shaq-Fu.jpg|nintendo-switch/Shaq-Fu_background.jpg|<p></p><h2>Shaq Fu - A Legend Reborn </h2> <p>Shaq Fu: A Legend Reborn is het vervolg op Shaq Fu, een vechtspel met Shaquille O’Neal dat in 1994 verscheen en door veel gamers en critici wordt gezien als de slechtste game ooit gemaakt. De cultstatus zorgde ervoor dat zowel Shaquille als enkele ontwikkelaars de opdracht aannamen om een vervolg te maken dat wél geliefd is door de critici en gamers.</p> <p> In Shaq Fu: A Legend Reborn keert de basketballegende terug en neemt hij het op tegen demonische celebrities om wraak te nemen en alsnog een waardige plek te claimen in de videogamegeschiedenis. Sla vijanden neer met verwoestende combo’s en maai om je heen met diverse wapens en power-ups in een avontuur vol keiharde actie. Natuurlijk is de hoofdpersoon ingesproken door de enige echte Shaquille O’Neal!</p> <ul>  <li>Stem door niemand minder dan Shaq Fu zelf: basketballegende Shaquille O'Neal. </li>  <li>Reis naar verschillende werelddelen en maak gebruik van de contextuele acties en vechtbewegingen die uniek zijn aan de locaties. </li>  <li>Elke vijand komt met unieke vaardigheden. </li>  <li>Ga de strijd aan met over-the-top eindbazen en gebruik Shaq's unieke arsenaal speciale vaardigheden, power-ups en old school martial arts.</li> </ul><p></p>
The Elder Scrolls Online - Summerset|39.98|5/6/2018|Singleplayer, Online Multiplayer Competitief, Online Multiplayer Coöp|MMO|18|Geweld, Constante internetverbinding vereist|Bethesda|ZeniMax Online Studios|Engels|Engels|playstation-4|playstation-4/Elder-Scrolls-Online-Summerset.jpg|playstation-4/Elder-Scrolls-Online-Summerset_background.jpg|<div class="wrap">  <h2>The Elder Scrolls Online - Summerset </h2>  <p>The Elder Scrolls Online: Summerset is het volgende hoofdstuk van de veelgeprezen online RPG van Zenimax Online Studios, The Elder Scrolls Online. Dit nieuwe avontuur in de ESO-saga stuurt avonturiers en vrienden naar het Summerset eiland. Ontdek het thuis van de High Elves voor het eerst sinds The Elder Scrolls: Arena uit 1994. Ontdek het eiland van Artaeum, het thuis van de mysterieuze Psijic Orde, een groep wijzen die ouder zijn dan de Mage Guild. Het lot van Tamriel is in gevaar en er wordt een oproep gedaan op de helden van ESO om nog een keer de wereld te redden. Met een gigantische en bruisende nieuwe zone, een episch verhaal, een nieuwe lijn aan skills gebaseerd op de Psijic Order en de introductie van het craften van juwelen. </p>  <p>The Elder Scrolls Online Summerset bevat meer dan 30 uur aan content om te ontdekken en breidt het avontuur uit van The Elder Scrolls Online op een innovatieve manier voor zowel ESO veteranen als nieuwe spelers.</p>  <h3>Nieuwe content voor zowel nieuwelingen als veteranen</h3>  <p>The Elder Scrolls Online’s unieke hoofdstukkenstructuur en level-scaling zorgt ervoor dat de nieuwe content snel toegankelijk en leuk is voor zowel nieuwe spelers als voor veteranen. Zowel beginnende fans als fans met het hoogste niveau vinden uitdagingen op maat in Summerset en ze kunnen zij-aan-zij in groepen spelen om samen de nieuwe zone en de verhalen te verkennen en te overwinnen.</p>  <ul>   <li><em>Nieuwe spelers:</em> Nieuwe spelers kunnen een personage maken en meteen in ESO: Summerset duiken zonder de voorgaande ESO-content uitgespeeld te moeten hebben. Een nieuwe tutorial en een nieuw startersgebied stomen hen snel klaar om Tamriel te redden van de Daedrische samenzwering.</li>   <li><em>Huidige spelers: </em>Veteranen van het spel kunnen upgraden naar ESO: Summerset en hun bestaande personages overzetten naar de nieuwe zone, of met een nieuw personage van start gaan. Met tonnen aan nieuwe groeps-inhoud en verhalen om te ontdekken, is Summerset dé plaats waar elke ESO-fan naartoe zou moeten gaan om zich meer onder te dompelen in de wereld van The Elder Scrolls. </li>  </ul>  <h3>Summerset Eiland vrijgespeeld</h3>  <p>Door de verordening van Koningin Ayrenn is het eiland Summerset nu open voor buitenstaanders, maar een Daedrische bedreiging hangt boven het adembenemende thuisland van de High Elves. Spelers gaan naar het eiland Summerset, verzamelen bondgenoten en leggen een duistere samenzwering bloot die heel Tamriel bedreigt. ESO: Summerset zit boordevol spannende nieuwe features en uitdagingen, waaronder:</p>  <ul>   <li><em>Een nieuwe zone:</em> het eiland Summerset, een magnifiek land dat zelfs een nog grotere toevoeging is dan het gigantische Vvardenfell dat vorig jaar aan ESO: Morrowind werd toegevoegd</li>   <li><em>Een episch hoofdverhaal:</em> Meer van ESO’s prijswinnende verhaal dat het Daedrische drama dat begon in de Orsinium DLC uit 2015 besluit</li>   <li><em>De Psijic-Orde: </em>Voor het eerst in een Elder Scrolls-game kan je de mysterieuze Psijic Order vervoegen en hun geheime thuisbasis, de stad Artaeum, verkennen</li>   <li><em>Nieuwe lijn aan skills: </em>Beheers de magie van de magiërs van de Psijic Order om je een nieuwe gevechtsskill eigen te maken en om de controle over de tijd te krijgen</li>   <li><em>Vervaardigen van juwelen: </em>ESO’s nieuwste ‘crafting skill’ laat spelers toe om krachtige uitrustingen te maken voor hun personages</li>   <li><em>Nieuwe PvE groepsuitdagingen: </em>Spelers kunnen samenwerken om de uitdagingen van Cloudrest aan te gaan, een nieuwe Trial voor 12 spelers, nieuwe dungeons en andere content waaronder de Abyssal Geysers </li>  </ul> </div> <div class="lnk lnk--more">  <a href="#" data-more="Lees meer" data-less="Minder"> <span>Lees meer</span> </a> </div>
The Elder Scrolls Online - Summerset|39.98|5/6/2018|Singleplayer, Online Multiplayer Competitief, Online Multiplayer Coöp|MMO|18|Geweld, Constante internetverbinding vereist|Bethesda|ZeniMax Online Studios|Engels|Engels|xbox-one|xbox-one/Elder-Scrolls-Online-Summerset.jpg|xbox-one/Elder-Scrolls-Online-Summerset_background.jpg|<div class="wrap">  <h2>The Elder Scrolls Online - Summerset </h2>  <p>The Elder Scrolls Online: Summerset is het volgende hoofdstuk van de veelgeprezen online RPG van Zenimax Online Studios, The Elder Scrolls Online. Dit nieuwe avontuur in de ESO-saga stuurt avonturiers en vrienden naar het Summerset eiland. Ontdek het thuis van de High Elves voor het eerst sinds The Elder Scrolls: Arena uit 1994. Ontdek het eiland van Artaeum, het thuis van de mysterieuze Psijic Orde, een groep wijzen die ouder zijn dan de Mage Guild. Het lot van Tamriel is in gevaar en er wordt een oproep gedaan op de helden van ESO om nog een keer de wereld te redden. Met een gigantische en bruisende nieuwe zone, een episch verhaal, een nieuwe lijn aan skills gebaseerd op de Psijic Order en de introductie van het craften van juwelen. </p>  <p>The Elder Scrolls Online Summerset bevat meer dan 30 uur aan content om te ontdekken en breidt het avontuur uit van The Elder Scrolls Online op een innovatieve manier voor zowel ESO veteranen als nieuwe spelers.</p>  <h3>Nieuwe content voor zowel nieuwelingen als veteranen</h3>  <p>The Elder Scrolls Online’s unieke hoofdstukkenstructuur en level-scaling zorgt ervoor dat de nieuwe content snel toegankelijk en leuk is voor zowel nieuwe spelers als voor veteranen. Zowel beginnende fans als fans met het hoogste niveau vinden uitdagingen op maat in Summerset en ze kunnen zij-aan-zij in groepen spelen om samen de nieuwe zone en de verhalen te verkennen en te overwinnen.</p>  <ul>   <li><em>Nieuwe spelers:</em> Nieuwe spelers kunnen een personage maken en meteen in ESO: Summerset duiken zonder de voorgaande ESO-content uitgespeeld te moeten hebben. Een nieuwe tutorial en een nieuw startersgebied stomen hen snel klaar om Tamriel te redden van de Daedrische samenzwering.</li>   <li><em>Huidige spelers: </em>Veteranen van het spel kunnen upgraden naar ESO: Summerset en hun bestaande personages overzetten naar de nieuwe zone, of met een nieuw personage van start gaan. Met tonnen aan nieuwe groeps-inhoud en verhalen om te ontdekken, is Summerset dé plaats waar elke ESO-fan naartoe zou moeten gaan om zich meer onder te dompelen in de wereld van The Elder Scrolls. </li>  </ul>  <h3>Summerset Eiland vrijgespeeld</h3>  <p>Door de verordening van Koningin Ayrenn is het eiland Summerset nu open voor buitenstaanders, maar een Daedrische bedreiging hangt boven het adembenemende thuisland van de High Elves. Spelers gaan naar het eiland Summerset, verzamelen bondgenoten en leggen een duistere samenzwering bloot die heel Tamriel bedreigt. ESO: Summerset zit boordevol spannende nieuwe features en uitdagingen, waaronder:</p>  <ul>   <li><em>Een nieuwe zone:</em> het eiland Summerset, een magnifiek land dat zelfs een nog grotere toevoeging is dan het gigantische Vvardenfell dat vorig jaar aan ESO: Morrowind werd toegevoegd</li>   <li><em>Een episch hoofdverhaal:</em> Meer van ESO’s prijswinnende verhaal dat het Daedrische drama dat begon in de Orsinium DLC uit 2015 besluit</li>   <li><em>De Psijic-Orde: </em>Voor het eerst in een Elder Scrolls-game kan je de mysterieuze Psijic Order vervoegen en hun geheime thuisbasis, de stad Artaeum, verkennen</li>   <li><em>Nieuwe lijn aan skills: </em>Beheers de magie van de magiërs van de Psijic Order om je een nieuwe gevechtsskill eigen te maken en om de controle over de tijd te krijgen</li>   <li><em>Vervaardigen van juwelen: </em>ESO’s nieuwste ‘crafting skill’ laat spelers toe om krachtige uitrustingen te maken voor hun personages</li>   <li><em>Nieuwe PvE groepsuitdagingen: </em>Spelers kunnen samenwerken om de uitdagingen van Cloudrest aan te gaan, een nieuwe Trial voor 12 spelers, nieuwe dungeons en andere content waaronder de Abyssal Geysers </li>  </ul> </div> <div class="lnk lnk--more">  <a href="#" data-more="Lees meer" data-less="Minder"> <span>Lees meer</span> </a> </div>
The Elder Scrolls Online - Summerset Collector's Edition|99.98|5/6/2018|Singleplayer, Online Multiplayer Competitief, Online Multiplayer Coöp|MMO|18|Geweld, Constante internetverbinding vereist|Bethesda|ZeniMax Online Studios|Engels|Engels|playstation-4|playstation-4/Elder-Scrolls-Online-Summerset.jpg|playstation-4/Elder-Scrolls-Online-Summerset_background.jpg|<div class="wrap">  <h2>The Elder Scrolls Online - Summerset Collector's Edition</h2>  <p>The Elder Scrolls Online - Summerset Collector's Edition komt met de volgende items: </p>  <ul>   <li>Mephala Statue - Een 30 cm statue van de Daedric Prince Mephala.</li>   <li>Razum-dar’s Journal - Een spionnenrapport voor Queen Ayrenn met daarin alle verzamelde kennis van Razum-dar’s onderzoek van Summerset.</li>   <li>Kaart van Summerset - Het thuis van de High Elves is open voor buitenlandse bezoekers voor het eerst in de geschiedenis. Laat deze kaart je leiden door de onbekende landen.</li>   <li>Exclusieve Steelbook Case - Een limited edition metalen case, perfect voor elke verzameling.</li>   <li>Bevat alle in-game beloningen uit de Digital Collector’s Edition en het pre-order ‘Queen’s Bounty’-Pack.</li>   <li>Nightmare Senche Mount, met brandende poten en vlammen om zijn gezicht heen.</li>   <li>Bevat de volledige basis game van The Elder Scrolls Online met allerlei avonturen door heel Tamriel. </li>  </ul>  <h3>Een nieuw hoofdstuk</h3>  <p>The Elder Scrolls Online: Summerset is het volgende hoofdstuk van de veelgeprezen online RPG van Zenimax Online Studios, The Elder Scrolls Online. Dit nieuwe avontuur in de ESO-saga stuurt avonturiers en vrienden naar het Summerset eiland. Ontdek het thuis van de High Elves voor het eerst sinds The Elder Scrolls: Arena uit 1994. Ontdek het eiland van Artaeum, het thuis van de mysterieuze Psijic Orde, een groep wijzen die ouder zijn dan de Mage Guild. Het lot van Tamriel is in gevaar en er wordt een oproep gedaan op de helden van ESO om nog een keer de wereld te redden. Met een gigantische en bruisende nieuwe zone, een episch verhaal, een nieuwe lijn aan skills gebaseerd op de Psijic Order en de introductie van het craften van juwelen. </p>  <p>The Elder Scrolls Online Summerset bevat meer dan 30 uur aan content om te ontdekken en breidt het avontuur uit van The Elder Scrolls Online op een innovatieve manier voor zowel ESO veteranen als nieuwe spelers.</p>  <h3>Nieuwe content voor zowel nieuwelingen als veteranen</h3>  <p>The Elder Scrolls Online’s unieke hoofdstukkenstructuur en level-scaling zorgt ervoor dat de nieuwe content snel toegankelijk en leuk is voor zowel nieuwe spelers als voor veteranen. Zowel beginnende fans als fans met het hoogste niveau vinden uitdagingen op maat in Summerset en ze kunnen zij-aan-zij in groepen spelen om samen de nieuwe zone en de verhalen te verkennen en te overwinnen.</p>  <ul>   <li><em>Nieuwe spelers:</em> Nieuwe spelers kunnen een personage maken en meteen in ESO: Summerset duiken zonder de voorgaande ESO-content uitgespeeld te moeten hebben. Een nieuwe tutorial en een nieuw startersgebied stomen hen snel klaar om Tamriel te redden van de Daedrische samenzwering.</li>   <li><em>Huidige spelers: </em>Veteranen van het spel kunnen upgraden naar ESO: Summerset en hun bestaande personages overzetten naar de nieuwe zone, of met een nieuw personage van start gaan. Met tonnen aan nieuwe groeps-inhoud en verhalen om te ontdekken, is Summerset dé plaats waar elke ESO-fan naartoe zou moeten gaan om zich meer onder te dompelen in de wereld van The Elder Scrolls. </li>  </ul>  <h3>Summerset Eiland vrijgespeeld</h3>  <p>Door de verordening van Koningin Ayrenn is het eiland Summerset nu open voor buitenstaanders, maar een Daedrische bedreiging hangt boven het adembenemende thuisland van de High Elves. Spelers gaan naar het eiland Summerset, verzamelen bondgenoten en leggen een duistere samenzwering bloot die heel Tamriel bedreigt. ESO: Summerset zit boordevol spannende nieuwe features en uitdagingen, waaronder:</p>  <ul>   <li><em>Een nieuwe zone:</em> het eiland Summerset, een magnifiek land dat zelfs een nog grotere toevoeging is dan het gigantische Vvardenfell dat vorig jaar aan ESO: Morrowind werd toegevoegd</li>   <li><em>Een episch hoofdverhaal:</em> Meer van ESO’s prijswinnende verhaal dat het Daedrische drama dat begon in de Orsinium DLC uit 2015 besluit</li>   <li><em>De Psijic-Orde: </em>Voor het eerst in een Elder Scrolls-game kan je de mysterieuze Psijic Order vervoegen en hun geheime thuisbasis, de stad Artaeum, verkennen</li>   <li><em>Nieuwe lijn aan skills: </em>Beheers de magie van de magiërs van de Psijic Order om je een nieuwe gevechtsskill eigen te maken en om de controle over de tijd te krijgen</li>   <li><em>Vervaardigen van juwelen: </em>ESO’s nieuwste ‘crafting skill’ laat spelers toe om krachtige uitrustingen te maken voor hun personages</li>   <li><em>Nieuwe PvE groepsuitdagingen: </em>Spelers kunnen samenwerken om de uitdagingen van Cloudrest aan te gaan, een nieuwe Trial voor 12 spelers, nieuwe dungeons en andere content waaronder de Abyssal Geysers </li>  </ul> </div> <div class="lnk lnk--more">  <a href="#" data-more="Lees meer" data-less="Minder"> <span>Lees meer</span> </a> </div>
The Elder Scrolls Online - Summerset Collector's Edition|99.98|5/6/2018|Singleplayer, Online Multiplayer Competitief, Online Multiplayer Coöp|MMO|18|Geweld, Constante internetverbinding vereist|Bethesda|ZeniMax Online Studios|Engels|Engels|xbox-one|xbox-one/Elder-Scrolls-Online-Summerset.jpg|xbox-one/Elder-Scrolls-Online-Summerset_background.jpg|<p></p><h2>The Elder Scrolls Online - Summerset Collector's Edition </h2> <p>The Elder Scrolls Online - Summerset Collector's Edition komt met de volgende items: </p> <ul>  <li>Mephala Statue - Een 30 cm statue van de Daedric Prince Mephala.</li>  <li>Razum-dar’s Journal - Een spionnenrapport voor Queen Ayrenn met daarin alle verzamelde kennis van Razum-dar’s onderzoek van Summerset.</li>  <li>Kaart van Summerset - Het thuis van de High Elves is open voor buitenlandse bezoekers voor het eerst in de geschiedenis. Laat deze kaart je leiden door de onbekende landen.</li>  <li>Exclusieve Steelbook Case - Een limited edition metalen case, perfect voor elke verzameling.</li>  <li>Bevat alle in-game beloningen uit de Digital Collector’s Edition en het pre-order ‘Queen’s Bounty’-Pack.</li>  <li>Nightmare Senche Mount, met brandende poten en vlammen om zijn gezicht heen.</li>  <li>Bevat de volledige basis game van The Elder Scrolls Online met allerlei avonturen door heel Tamriel. </li> </ul> <h3>Een nieuw hoofdstuk</h3> <p>The Elder Scrolls Online: Summerset is het volgende hoofdstuk van de veelgeprezen online RPG van Zenimax Online Studios, The Elder Scrolls Online. Dit nieuwe avontuur in de ESO-saga stuurt avonturiers en vrienden naar het Summerset eiland. Ontdek het thuis van de High Elves voor het eerst sinds The Elder Scrolls: Arena uit 1994. Ontdek het eiland van Artaeum, het thuis van de mysterieuze Psijic Orde, een groep wijzen die ouder zijn dan de Mage Guild. Het lot van Tamriel is in gevaar en er wordt een oproep gedaan op de helden van ESO om nog een keer de wereld te redden. Met een gigantische en bruisende nieuwe zone, een episch verhaal, een nieuwe lijn aan skills gebaseerd op de Psijic Order en de introductie van het craften van juwelen. </p> <p>The Elder Scrolls Online Summerset bevat meer dan 30 uur aan content om te ontdekken en breidt het avontuur uit van The Elder Scrolls Online op een innovatieve manier voor zowel ESO veteranen als nieuwe spelers.</p> <h3>Nieuwe content voor zowel nieuwelingen als veteranen</h3> <p>The Elder Scrolls Online’s unieke hoofdstukkenstructuur en level-scaling zorgt ervoor dat de nieuwe content snel toegankelijk en leuk is voor zowel nieuwe spelers als voor veteranen. Zowel beginnende fans als fans met het hoogste niveau vinden uitdagingen op maat in Summerset en ze kunnen zij-aan-zij in groepen spelen om samen de nieuwe zone en de verhalen te verkennen en te overwinnen.</p> <ul>  <li><em>Nieuwe spelers:</em> Nieuwe spelers kunnen een personage maken en meteen in ESO: Summerset duiken zonder de voorgaande ESO-content uitgespeeld te moeten hebben. Een nieuwe tutorial en een nieuw startersgebied stomen hen snel klaar om Tamriel te redden van de Daedrische samenzwering.</li>  <li><em>Huidige spelers: </em>Veteranen van het spel kunnen upgraden naar ESO: Summerset en hun bestaande personages overzetten naar de nieuwe zone, of met een nieuw personage van start gaan. Met tonnen aan nieuwe groeps-inhoud en verhalen om te ontdekken, is Summerset dé plaats waar elke ESO-fan naartoe zou moeten gaan om zich meer onder te dompelen in de wereld van The Elder Scrolls. </li> </ul> <h3>Summerset Eiland vrijgespeeld</h3> <p>Door de verordening van Koningin Ayrenn is het eiland Summerset nu open voor buitenstaanders, maar een Daedrische bedreiging hangt boven het adembenemende thuisland van de High Elves. Spelers gaan naar het eiland Summerset, verzamelen bondgenoten en leggen een duistere samenzwering bloot die heel Tamriel bedreigt. ESO: Summerset zit boordevol spannende nieuwe features en uitdagingen, waaronder:</p> <ul>  <li><em>Een nieuwe zone:</em> het eiland Summerset, een magnifiek land dat zelfs een nog grotere toevoeging is dan het gigantische Vvardenfell dat vorig jaar aan ESO: Morrowind werd toegevoegd</li>  <li><em>Een episch hoofdverhaal:</em> Meer van ESO’s prijswinnende verhaal dat het Daedrische drama dat begon in de Orsinium DLC uit 2015 besluit</li>  <li><em>De Psijic-Orde: </em>Voor het eerst in een Elder Scrolls-game kan je de mysterieuze Psijic Order vervoegen en hun geheime thuisbasis, de stad Artaeum, verkennen</li>  <li><em>Nieuwe lijn aan skills: </em>Beheers de magie van de magiërs van de Psijic Order om je een nieuwe gevechtsskill eigen te maken en om de controle over de tijd te krijgen</li>  <li><em>Vervaardigen van juwelen: </em>ESO’s nieuwste ‘crafting skill’ laat spelers toe om krachtige uitrustingen te maken voor hun personages</li>  <li><em>Nieuwe PvE groepsuitdagingen: </em>Spelers kunnen samenwerken om de uitdagingen van Cloudrest aan te gaan, een nieuwe Trial voor 12 spelers, nieuwe dungeons en andere content waaronder de Abyssal Geysers </li> </ul><p></p>
Shaq Fu - A legend Reborn|34.98|5/6/2018|Singleplayer, Lokale Multiplayer Coöp|Action|12|Geweld|Mindscape|Big Deez Productions|Engels|Engels|playstation-4|playstation-4/Shaq-Fu.jpg|playstation-4/Shaq-Fu_background.jpg|<p></p><h2>Shaq Fu - A Legend Reborn </h2> <p>Shaq Fu: A Legend Reborn is het vervolg op Shaq Fu, een vechtspel met Shaquille O’Neal dat in 1994 verscheen en door veel gamers en critici wordt gezien als de slechtste game ooit gemaakt. De cultstatus zorgde ervoor dat zowel Shaquille als enkele ontwikkelaars de opdracht aannamen om een vervolg te maken dat wél geliefd is door de critici en gamers.</p> <p> In Shaq Fu: A Legend Reborn keert de basketballegende terug en neemt hij het op tegen demonische celebrities om wraak te nemen en alsnog een waardige plek te claimen in de videogamegeschiedenis. Sla vijanden neer met verwoestende combo’s en maai om je heen met diverse wapens en power-ups in een avontuur vol keiharde actie. Natuurlijk is de hoofdpersoon ingesproken door de enige echte Shaquille O’Neal!</p> <ul>  <li>Stem door niemand minder dan Shaq Fu zelf: basketballegende Shaquille O'Neal. </li>  <li>Reis naar verschillende werelddelen en maak gebruik van de contextuele acties en vechtbewegingen die uniek zijn aan de locaties. </li>  <li>Elke vijand komt met unieke vaardigheden. </li>  <li>Ga de strijd aan met over-the-top eindbazen en gebruik Shaq's unieke arsenaal speciale vaardigheden, power-ups en old school martial arts.</li> </ul><p></p>
Onrush Day One Edition|64.98|5/6/2018|Singleplayer, Online Multiplayer Competitief|Race|7|null|Deep Silver|Codemasters|Engels|Engels|playstation-4|playstation-4/Onrush.jpg|playstation-4/Onrush_background.jpg|<div class="wrap">  <h2>Onrush</h2>  <p>De Day 1 Edition bevat gratis DLC van de Vortex Buggy.<strong></strong></p>  <p>Arcade racing is terug! Onrush herschrijft de raceregels en smijt spelers in een competitie waar plezier net zo belangrijk is als het gevecht om de eerste plaats. Onrush is een sport gemaakt door en voor fans en gaat over het achtervolgen van de ultieme adrenalinerush - en niet alleen je rivalen.</p>  <h3>All-in actie</h3>  <p>Onrush is een contactsport. Veilig spelen is geen optie, wanneer je het opneemt tegen een hoop felle tegenstanders in de gevaarlijke omgevingen. Je zal door gebruik te maken van gewaagde takedowns, teammanoeuvres en wilde stunts, alles op het spel moeten zetten om te winnen.</p>  <h3>De ultieme payoff</h3>  <p>Beleef de rush! De Rush-modus is de ultieme manifestatie van snelheid en kracht - een intense en onstopbare kracht die je de spannendste momenten en takedowns belooft. Rush is een enorme adrenalinestoot waar je steeds weer naar hunkert, of je nu helemaal los gaat of je liever je teamgenoten beschermt.</p>  <h3>Een nieuw soort racen</h3>  <p>Denk je al te weten wat te verwachten van de voertuigen van Onrush? Denk dan nog maar eens na. Je kan kiezen uit acht verschillende voertuigklassen, die elk hun eigen handeling, eigenschappen en karakteristieken hebben. Wat je ook kiest, wees gerust: je kan je verwachten aan de rit van je leven.</p> <p> </p></div> <div class="lnk lnk--more">  <a href="#" data-more="Lees meer" data-less="Minder"> <span>Lees meer</span> </a> </div>
Onrush Day One Edition|64.98|5/6/2018|Singleplayer, Online Multiplayer Competitief|Race|7|null|Deep Silver|Codemasters|Engels|Engels|xbox-one|xbox-one/Onrush.jpg|xbox-one/Onrush_background.jpg|<p></p><h2>Onrush Day 1 Edition</h2> <p>De Day 1 Edition bevat gratis DLC van de Vortex Buggy.</p> <p>Arcade racing is terug! Onrush herschrijft de raceregels en smijt spelers in een competitie waar plezier net zo belangrijk is als het gevecht om de eerste plaats. Onrush is een sport gemaakt door en voor fans en gaat over het achtervolgen van de ultieme adrenalinerush - en niet alleen je rivalen.</p> <h3>All-in actie</h3> <p>Onrush is een contactsport. Veilig spelen is geen optie, wanneer je het opneemt tegen een hoop felle tegenstanders in de gevaarlijke omgevingen. Je zal door gebruik te maken van gewaagde takedowns, teammanoeuvres en wilde stunts, alles op het spel moeten zetten om te winnen.</p> <h3>De ultieme payoff</h3> <p>Beleef de rush! De Rush-modus is de ultieme manifestatie van snelheid en kracht - een intense en onstopbare kracht die je de spannendste momenten en takedowns belooft. Rush is een enorme adrenalinestoot waar je steeds weer naar hunkert, of je nu helemaal los gaat of je liever je teamgenoten beschermt.</p> <h3>Een nieuw soort racen</h3> <p>Denk je al te weten wat te verwachten van de voertuigen van Onrush? Denk dan nog maar eens na. Je kan kiezen uit acht verschillende voertuigklassen, die elk hun eigen handeling, eigenschappen en karakteristieken hebben. Wat je ook kiest, wees gerust: je kan je verwachten aan de rit van je leven.</p><p></p>
Vampyr|49.98|5/6/2018|Singleplayer|RPG, Action|18|Geweld|Focus Home Interactive|Dontnod Entertainment|Engels|Engels|pc|pc/Vampyr.jpg|pc/Vampyr_background.jpg|<p></p><h2>Vampyr</h2> <p>Vampyr is een donkere actie RPG van de studio achter ‘Remember Me’ en ‘Life is Strange’, ontwikkeld met de audiovisuele kracht van Unreal Engine 4.</p> <p> De setting is Brittannië in de vroege 20ste eeuw - tijdens een uitbraak van de dodelijke Spaanse griep zijn de straten van London in de greep van ziekte, geweld en angst. In een chaotische en spookachtige stad zijn de gekken, wanhopigen en ongelukkigen in de straten een prooi voor de meest onzichtbare jagers - de vampieren.&nbsp;</p> <p>Vanuit de chaos verrijst een getormenteerd figuur; als speler bepaal jij hoe je je nieuwe krachten inzet, door je te specialiseren in dodelijke, uiteenlopende RPG vaardigheden die uiteindelijk bepalen hoe je het verhaal ervaart. Als dokter ben je recent besmet en veranderd in een vampier; nu moet je je nieuwe toestand proberen te begrijpen. Je zoektocht zal gevuld zijn met dood en drama en je moet een voortdurend gevecht leveren tegen de drang naar het nemen van menselijke levens.</p> <p>Terwijl je vastklampt aan het laatste wat je menselijk maakt, zullen je beslissingen het uiteindelijke lot van je personage bepalen.</p> <ul>  <li>Verken een donker London in de vroege 20ste eeuw</li>  <li>Speel als een krachtige vampier en leer de regels van je nieuwe conditie</li>  <li>Dokter of Vampier: het grootste gevecht lever je met jezelf</li>  <li>Creëer je eigen gevechtstijl door gebruik te maken van een grote selectie handgemaakte wapens en krachtige vampiervaardigheden&nbsp;</li>  <li>Bepaal zelf je lot: morele keuzes hebben een invloed op het verhaal</li> </ul><p></p>
